"Title: Total Hospital Beds | The Henry J. Kaiser Family Foundation"
"Timeframe: 2018"
"Location","Total Hospital Beds","Beds per 1,000 Population"
"United States","792417","2.4"
"Alabama","15278","3.1"
"Alaska","1636","2.2"
"Arizona","13846","1.9"
"Arkansas","9517","3.2"
"California","72511","1.8"
"Colorado","10574","1.9"
"Connecticut","7194","2"
"Delaware","2101","2.2"
"District of Columbia","3114","4.4"
"Florida","54744","2.6"
"Georgia","25114","2.4"
"Hawaii","2749","1.9"
"Idaho","3396","1.9"
"Illinois","32066","2.5"
"Indiana","18156","2.7"
"Iowa","9423","3"
"Kansas","9659","3.3"
"Kentucky","14329","3.2"
"Louisiana","15272","3.3"
"Maine","3400","2.5"
"Maryland","11577","1.9"
"Massachusetts","15649","2.3"
"Michigan","24949","2.5"
"Minnesota","13895","2.5"
"Mississippi","12071","4"
"Missouri","18749","3.1"
"Montana","3542","3.3"
"Nebraska","6842","3.6"
"Nevada","6493","2.1"
"New Hampshire","2783","2.1"
"New Jersey","20901","2.4"
"New Mexico","3811","1.8"
"New York","51927","2.7"
"North Carolina","21549","2.1"
"North Dakota","3235","4.3"
"Ohio","33157","2.8"
"Oklahoma","11144","2.8"
"Oregon","6889","1.6"
"Pennsylvania","36730","2.9"
"Rhode Island","2187","2.1"
"South Carolina","12120","2.4"
"South Dakota","4183","4.8"
"Tennessee","19387","2.9"
"Texas","65671","2.3"
"Utah","5767","1.8"
"Vermont","1305","2.1"
"Virginia","18065","2.1"
"Washington","12774","1.7"
"West Virginia","6868","3.8"
"Wisconsin","12103","2.1"
"Wyoming","2015","3.5"

"Notes"
"Data include staffed beds for community hospitals, which represent 85% of all hospitals."
""
"Figures may not sum to totals due to rounding."

"Sources"
"2015 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb)."
""
"Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/)."

"Definitions"
"*Community Hospitals:* All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public."
""
"*N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state."


