COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,TRANS_RATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
United States of America,Alabama,32.31823100000000,-86.90229800000000,0.5,17655,17960,18275,18599,18932,19276,19630
United States of America,Alabama,32.31823100000000,-86.90229800000000,1,17968,18631,19353,20139,20995,21926,22940
United States of America,Alabama,32.31823100000000,-86.90229800000000,2,18647,20214,22118,24432,27244,30660,34809
United States of America,Alabama,32.31823100000000,-86.90229800000000,3,19405,22182,25950,31060,37985,47362,60044
United States of America,Alabama,32.31823100000000,-86.90229800000000,4,20249,24629,31259,41285,56418,79198,113349
United States of America,Alaska,63.58875300000000,-154.49306200000000,0.5,436,438,441,444,446,449,452
United States of America,Alaska,63.58875300000000,-154.49306200000000,1,438,444,450,457,464,472,481
United States of America,Alaska,63.58875300000000,-154.49306200000000,2,444,457,474,494,518,547,583
United States of America,Alaska,63.58875300000000,-154.49306200000000,3,451,474,507,551,611,692,803
United States of America,Alaska,63.58875300000000,-154.49306200000000,4,458,495,552,639,771,971,1274
United States of America,Arizona,35.20105000000000,-91.83183300000000,0.5,19542,19835,20136,20447,20766,21096,21436
United States of America,Arizona,35.20105000000000,-91.83183300000000,1,19842,20478,21170,21924,22745,23638,24611
United States of America,Arizona,35.20105000000000,-91.83183300000000,2,20493,21995,23822,26043,28743,32026,36015
United States of America,Arizona,35.20105000000000,-91.83183300000000,3,21220,23884,27500,32410,39070,48101,60337
United States of America,Arizona,35.20105000000000,-91.83183300000000,4,22030,26232,32601,42246,56835,78862,112033
United States of America,Arkansas,34.04892800000000,-111.09373100000000,0.5,7137,7264,7396,7531,7670,7814,7962
United States of America,Arkansas,34.04892800000000,-111.09373100000000,1,7267,7545,7846,8175,8533,8922,9346
United States of America,Arkansas,34.04892800000000,-111.09373100000000,2,7551,8206,9002,9970,11147,12578,14317
United States of America,Arkansas,34.04892800000000,-111.09373100000000,3,7868,9029,10605,12745,15649,19586,24919
United States of America,Arkansas,34.04892800000000,-111.09373100000000,4,8221,10053,12829,17033,23392,32993,47448
United States of America,California,36.77826100000000,-119.41793200000000,0.5,111494,113141,114839,116587,118388,120244,122156
United States of America,California,36.77826100000000,-119.41793200000000,1,113183,116763,120660,124904,129525,134556,140033
United States of America,California,36.77826100000000,-119.41793200000000,2,116850,125307,135592,148096,163297,181773,204227
United States of America,California,36.77826100000000,-119.41793200000000,3,120939,135937,156300,183935,221424,272251,341100
United States of America,California,36.77826100000000,-119.41793200000000,4,125500,149159,185012,239298,321396,445326,631887
United States of America,Colorado,39.55005100000000,-105.78206700000000,0.5,26302,26526,26758,26996,27241,27494,27754
United States of America,Colorado,39.55005100000000,-105.78206700000000,1,26532,27020,27551,28128,28758,29442,30188
